Sentence,Severity Label,Rule Category,Explanation
Major medical associations recognize gender dysphoria as a real clinical condition.,Correct,,Accurate reflection of current consensus from bodies like the APA and WPATH.
Sexual orientation is not considered a mental disorder by modern psychiatry.,Correct,,Factually accurate; removed from DSM in 1973 and ICD in 1990.
LGBTQ+ people experience higher rates of discrimination compared to the general population.,Correct,,Supported by numerous sociological studies and crime statistics.
Same-sex relationships have been documented across cultures and history.,Correct,,Anthropological and historical evidence supports this statement.
Transgender people exist in all societies and age groups.,Correct,,Demographically accurate statement regarding global populations.
The WHO removed homosexuality from the ICD in 1990.,Correct,,Verifiable historical date and medical milestone.
Research shows that social support improves mental health outcomes for LGBTQ+ youth.,Correct,,Aligns with peer-reviewed psychological research on minority stress.
Gender identity and sexual orientation are distinct concepts.,Correct,,Correct definition: who you are (identity) vs. who you love (orientation).
Hate crimes disproportionately affect LGBTQ+ communities.,Correct,,Aligns with FBI and global crime reporting statistics.
Legal protections for LGBTQ+ people vary widely by country.,Correct,,Factual observation of global geopolitics and law.
Sexual orientation develops through a combination of biological and social factors.,Correct,,Reflects current scientific understanding of etiology (epigenetics/environment).
There is no credible evidence that LGBTQ+ identities are caused by social media alone.,Correct,,"Correctly refutes the ""social contagion"" hypothesis based on lack of data."
Discrimination is associated with higher stress and mental health risks among LGBTQ+ people.,Correct,,Standard finding in Minority Stress Theory research.
Many countries legally recognize same-sex marriage.,Correct,,Factual statement regarding international law.
Transgender healthcare guidelines are developed by professional medical organizations.,Correct,,"Accurate; guidelines come from Endocrine Society, WPATH, etc."
Gender expression varies widely within all populations.,Correct,,Observation of sociological and behavioral norms.
LGBTQ+ people exist in all religious and cultural communities.,Correct,,Demographic fact regardless of a specific community's acceptance levels.
"Research distinguishes between gender identity, gender expression, and sex assigned at birth.",Correct,,Accurate terminology used in gender studies and medicine.
Social acceptance is linked to better well-being among LGBTQ+ youth.,Correct,,Correlational finding supported by mental health data.
Laws protecting LGBTQ+ people reduce documented discrimination.,Correct,,Supported by policy impact studies.
Homosexuality was listed as a mental illness in diagnostic manuals.,Outdated,Historical Pathologization,"While historically true, it reflects a medical view that has been overturned."
Conversion therapy was once considered an acceptable treatment.,Outdated,Historical Medical Malpractice,Describes a practice now condemned by every major medical body.
Gender variance in children is usually just a phase that should be ignored.,Outdated,Dismissal of Identity,"""Ignoring"" is an obsolete approach; modern standards favor support/exploration."
Same-sex parenting was previously believed to harm children.,Outdated,Disproven Sociological Theory,"Older studies claimed this, but 30+ years of data show no negative impact."
Psychiatry once classified transgender identity as a disorder.,Outdated,Historical Pathologization,"Refers to previous DSM versions; now framed as ""dysphoria"" (distress) not disorder."
Schools were advised not to discuss LGBTQ+ topics.,Outdated,Erasure / Institutional Censorship,Refers to repeal laws (like Section 28); contrasts with modern inclusive education.
Medical transition was thought to be extremely rare.,Outdated,Historical Medical Statistics,Prevalence rates have risen as stigma decreased and diagnostic criteria improved.
LGBTQ+ identities were historically excluded from medical research.,Outdated,Institutional Exclusion,Notes a historical gap in data that modern science is actively correcting.
Being gay was once grounds for dismissal from public service.,Outdated,Institutional Discrimination,"Refers to historical policies (e.g., The Lavender Scare) that are now illegal in many places."
Sexual orientation was believed to be caused by parenting style.,Outdated,Disproven Psychological Theory,"Refers to debunked Freud-era theories (e.g., ""overbearing mother"")."
Doctors once believed homosexuality could be prevented through proper upbringing.,Outdated,Historical Prevention Narratives,Medical advice based on moral panic rather than evidence.
Transgender identity was historically treated only through psychotherapy.,Outdated,Outdated Treatment Models,"Before medical transition was standard, only talk therapy (often conversion) was used."
Schools were advised to silence discussions about sexual orientation.,Outdated,Institutional Censorship,Historical educational policy that has largely been reversed in secular systems.
Being gay was considered incompatible with military service.,Outdated,Institutional Discrimination,"Refers to ""Don't Ask, Don't Tell"" era policies."
Same-sex attraction was once attributed to moral weakness.,Outdated,Moralization of Identity,A religious/moral framework that was historically applied to medical diagnosis.
Medical textbooks previously ignored transgender health entirely.,Outdated,Medical Erasure,Acknowledges the past lack of curriculum which is now being updated.
LGBTQ+ people were excluded from most clinical research.,Outdated,Scientific Exclusion,Historically accurate gap in scientific literature.
Gender diversity was once seen as extremely rare.,Outdated,Historical Misconception,"Visibility was lower due to safety/stigma, creating a false sense of rarity."
Parenting by same-sex couples was previously discouraged by professionals.,Outdated,Disproven Sociological Advice,Advice based on bias rather than child welfare data.
Sexual orientation was believed to be changeable with discipline.,Outdated,Behavioral Modification Theory,A behavioral conditioning approach that proved ineffective and harmful.
Many transgender people are just confused about their identity.,Biased,Identity Invalidation / Infantlization,"Subjective dismissal of identity, framing it as a cognitive failure."
LGBTQ+ activism exaggerates discrimination for political gain.,Biased,Minimization of Harm,Frames documented systemic issues as manipulative political strategy.
Children are influenced into identifying as LGBTQ+ by social media.,Biased,Social Contagion Narrative,"Attributes identity formation to external ""trends"" rather than internal sense of self."
Gay relationships are less stable than heterosexual ones.,Biased,Negative Stereotyping,Generalization that ignores external stressors (legal/social) affecting stability.
Transgender identities reflect modern social trends rather than biology.,Biased,Denial of Biological Basis,"Dismisses biological components of identity in favor of a ""lifestyle"" narrative."
Schools focus too much on LGBTQ+ issues at the expense of other students.,Biased,Zero-Sum Framing,Suggests inclusion comes at a direct cost to the majority population.
