language,source_label,new_label,category,judge_reason_or_expl,sentence
he,Potentially Offensive,Correct,,,"ההכרה הגוברת באישים שאינם-קונפורמיסטיים מגדרית מערערת נורמות מגדריות היררכיות, ודורשת הערכה מחודשת ביקורתית של מבנים חברתיים."
en,Outdated,Correct,,,The notion that transgender women are merely men attempting to mimic heteronormative masculine presentation is an archaic and discriminatory belief.
he,Factually Incorrect,Factually Incorrect,Generalization,"המשפט מציג תפיסה מהותנית ושטוחה של קהילת הלהט""ב כגוף אחיד, תוך התעלמות מהבדלים פנימיים ומהרכב חברתי מגוון.","הקהילה הלהט""בית היא קבוצה מונוליטית עם מטרות פוליטיות משותפות, תוך התעלמות מהמגוון של נקודות המבט והחוויות האישיות."
en,Potentially Offensive,Potentially Offensive,Generalization,"The sentence frames LGBTQ+ identities as inherently problematic or disruptive to society, positioning them as a 'challen",The existence and expression of LGBTQ+ identities pose a challenge to traditional cultural norms and may be interpreted as conflicting with certain societal values.
he,Factually Incorrect,Correct,,,"אנשים טרנסג'נדרים חווים לעתים קרובות מצוקה וסטיגמה חברתית, ולעתים קרובות דורשים תמיכה פסיכולוגית וקידום."
he,Potentially Offensive,Potentially Offensive,Medicalization,"המשפט משתמש במיסוג פסיכולוגי כדי להצדיק או להסביר חוסר ביטוי של זהות מגדרית, מה שעלול להיתפס כניסיון לנרמל או למדוא את ה",לא כל הפרטים הם מוכנים פסיכולוגית לבטא את זהותם המגדרית.
he,Outdated,Correct,,,"בעבר, הוצע כי כיוון מיני יכול להשתנות באמצעות כוח רצון. רעיון זה הופרך על ידי המחקר העכשווי, והוא אינו נתמך עוד בראיות מדעיות."
en,Potentially Offensive,Correct,,,"Secular scholars argue that certain religious doctrines regarding same-sex relationships as sinful or immoral perpetuate harmful stigma and discrimination, despite these beliefs persisting in many communities."
he,Outdated,Correct,,,"בעבר, ההתייחסות הרפואית האורתודוקסית הציגה את זהות המגדר כ'בחירה', ובכך חיזקה תפיסה לפיה הנטייה המינית ניתנת לשינוי."
en,Outdated,Correct,,,"Historically, the belief that gender identity is exclusively informed by biologically assigned sex at birth has been the prevailing paradigm."
en,Outdated,Correct,,,"A prevalent, yet debunked, notion was that same-sex attraction was influenced by adverse caregiving experiences."
en,Biased,Biased,Generalization,"The sentence uses a common rhetorical framing that implies gender identity and biological sex are separate, additive com","Discussing health, it is constructive to acknowledge 'biological sex' alongside 'gender identity' to encompass the complexity of individual experiences and needs."
en,Potentially Offensive,Potentially Offensive,Medicalization,"The sentence frames gender-affirming care through a lens of debate and doubt regarding its efficacy, which can pathologi","Clinical discussions regarding gender affirmation for minors are a source of significant public debate, with differing perspectives on the appropriateness and efficacy of these interventions."
