Sentence,Severity Label,Rule Category,Explanation
Major medical associations recognize gender dysphoria as a real clinical condition.,Correct,N/A,Accurate reflection of current consensus from bodies like the APA and WPATH.
Sexual orientation is not considered a mental disorder by modern psychiatry.,Correct,N/A,Factually accurate; removed from DSM in 1973 and ICD in 1990.
LGBTQ+ people experience higher rates of discrimination compared to the general population.,Correct,N/A,Supported by numerous sociological studies and crime statistics.
Same-sex relationships have been documented across cultures and history.,Correct,N/A,Anthropological and historical evidence supports this statement.
Transgender people exist in all societies and age groups.,Correct,N/A,Demographically accurate statement regarding global populations.
The WHO removed homosexuality from the ICD in 1990.,Correct,N/A,Verifiable historical date and medical milestone.
Research shows that social support improves mental health outcomes for LGBTQ+ youth.,Correct,N/A,Aligns with peer-reviewed psychological research on minority stress.
Gender identity and sexual orientation are distinct concepts.,Correct,N/A,Correct definition: who you are (identity) vs. who you love (orientation).
Hate crimes disproportionately affect LGBTQ+ communities.,Correct,N/A,Aligns with FBI and global crime reporting statistics.
Legal protections for LGBTQ+ people vary widely by country.,Correct,N/A,Factual observation of global geopolitics and law.
Sexual orientation develops through a combination of biological and social factors.,Correct,N/A,Reflects current scientific understanding of etiology (epigenetics/environment).
There is no credible evidence that LGBTQ+ identities are caused by social media alone.,Correct,N/A,"Correctly refutes the ""social contagion"" hypothesis based on lack of data."
Discrimination is associated with higher stress and mental health risks among LGBTQ+ people.,Correct,N/A,Standard finding in Minority Stress Theory research.
Many countries legally recognize same-sex marriage.,Correct,N/A,Factual statement regarding international law.
Transgender healthcare guidelines are developed by professional medical organizations.,Correct,N/A,"Accurate; guidelines come from Endocrine Society, WPATH, etc."
Gender expression varies widely within all populations.,Correct,N/A,Observation of sociological and behavioral norms.
LGBTQ+ people exist in all religious and cultural communities.,Correct,N/A,Demographic fact regardless of a specific community's acceptance levels.
"Research distinguishes between gender identity, gender expression, and sex assigned at birth.",Correct,N/A,Accurate terminology used in gender studies and medicine.
Social acceptance is linked to better well-being among LGBTQ+ youth.,Correct,N/A,Correlational finding supported by mental health data.
Laws protecting LGBTQ+ people reduce documented discrimination.,Correct,N/A,Supported by policy impact studies.
Homosexuality was listed as a mental illness in diagnostic manuals.,Outdated,Historical Pathologization,"While historically true, it reflects a medical view that has been overturned."
Conversion therapy was once considered an acceptable treatment.,Outdated,Historical Medical Malpractice,Describes a practice now condemned by every major medical body.
Gender variance in children is usually just a phase that should be ignored.,Outdated,Dismissal of Identity,"""Ignoring"" is an obsolete approach; modern standards favor support/exploration."
Same-sex parenting was previously believed to harm children.,Outdated,Disproven Sociological Theory,"Older studies claimed this, but 30+ years of data show no negative impact."
Psychiatry once classified transgender identity as a disorder.,Outdated,Historical Pathologization,"Refers to previous DSM versions; now framed as ""dysphoria"" (distress) not disorder."
Schools were advised not to discuss LGBTQ+ topics.,Outdated,Erasure / Institutional Censorship,Refers to repeal laws (like Section 28); contrasts with modern inclusive education.
Medical transition was thought to be extremely rare.,Outdated,Historical Medical Statistics,Prevalence rates have risen as stigma decreased and diagnostic criteria improved.
LGBTQ+ identities were historically excluded from medical research.,Outdated,Institutional Exclusion,Notes a historical gap in data that modern science is actively correcting.
Being gay was once grounds for dismissal from public service.,Outdated,Institutional Discrimination,"Refers to historical policies (e.g., The Lavender Scare) that are now illegal in many places."
Sexual orientation was believed to be caused by parenting style.,Outdated,Disproven Psychological Theory,"Refers to debunked Freud-era theories (e.g., ""overbearing mother"")."
Doctors once believed homosexuality could be prevented through proper upbringing.,Outdated,Historical Prevention Narratives,Medical advice based on moral panic rather than evidence.
Transgender identity was historically treated only through psychotherapy.,Outdated,Outdated Treatment Models,"Before medical transition was standard, only talk therapy (often conversion) was used."
Schools were advised to silence discussions about sexual orientation.,Outdated,Institutional Censorship,Historical educational policy that has largely been reversed in secular systems.
