Card Name,Card Description,Labels,Members,Due Date,Start Date,List Name,Checklist,Checklist item,Checklist item due,Checklist item member
Wire up analysis history page,"The /history page shows 'Coming Soon'. Connect to DB analysis_runs table and display past analyses for logged-in users. Frontend component exists, needs DB query + API call.",Critical (red),Adan Daxa,2026-04-15,,Adan,Steps,Read analysis_runs schema in db/schema.sql,,
,,,,,,,Steps,Create GET /api/v1/analysis/history backend endpoint,,
,,,,,,,Steps,Build history list component with pagination,,
,,,,,,,Steps,Connect frontend to new endpoint,,
,,,,,,,Steps,Test with real analysis data,,
Implement report export (PDF/CSV),"[REQ: UR7, SR9, IR5] Export button in AnalysisSummary is a UI-only stub. Generate downloadable PDF report with: issue count by severity, locations in text, suggested corrections, and anonymization option. Must support both HE and EN.",Critical (red),Adan Daxa,2026-04-15,,Adan,Steps,Choose export format (PDF via jspdf or CSV),,
,,,,,,,Steps,Create export utility function in frontend,,
,,,,,,,Steps,Wire export button to generate and download file,,
,,,,,,,Steps,Include analysis score and all issues with suggestions,,
,,,,,,,Steps,Add anonymization toggle option,,
,,,,,,,Steps,Test with Hebrew and English content,,
Add password reset flow,"No forgot-password page or flow exists. Backend FastAPI Users already supports password reset — need frontend pages (request reset + confirm reset) and email trigger configuration.",Critical (red),Adan Daxa,2026-04-15,,Adan,Steps,Create /forgot-password page with email input,,
,,,,,,,Steps,Create /reset-password page with token + new password,,
,,,,,,,Steps,Connect to FastAPI Users reset endpoints,,
,,,,,,,Steps,Add i18n translations for both pages (en + he),,
,,,,,,,Steps,Test full flow end-to-end,,
Connect DB persistence for analysis findings,"DB repository layer is written but analysis findings are not fully persisted. Ensure findings and suggestions rows are saved to DB on each analysis when user is authenticated and private_mode is off.",Critical (red),Adan Daxa,2026-04-15,,Adan,Steps,Review backend/app/db/repository.py persistence functions,,
,,,,,,,Steps,Verify analysis router calls save_finding for each issue,,
,,,,,,,Steps,Verify suggestions are saved alongside findings,,
,,,,,,,Steps,Add transaction wrapper so partial saves roll back,,
,,,,,,,Steps,Test persistence with real analysis run,,
Add email verification flow,"No email verification on registration. Backend FastAPI Users supports it. Need frontend verification page and email sending configuration.",High (orange),Adan Daxa,2026-04-15,,Adan,Steps,Create /verify-email page,,
,,,,,,,Steps,Add verification banner on login for unverified users,,
,,,,,,,Steps,Connect to FastAPI Users verify endpoint,,
,,,,,,,Steps,Add i18n translations,,
User settings and profile page,"No settings page exists. UserDropdown only has logout. Add profile editing, language preference, and notification settings.",High (orange),Adan Daxa,2026-04-15,,Adan,Steps,Create /settings page with profile section,,
,,,,,,,Steps,Add form for display name and email,,
,,,,,,,Steps,Add language and theme preferences,,
,,,,,,,Steps,Connect to backend user update endpoint,,
,,,,,,,Steps,Add i18n translations,,
Remove unused mock/demo data files,"lib/utils/mock.ts and lib/utils/demoData.ts are unused dead code. NEXT_PUBLIC_USE_DEMO_MODE is set to false with no demo mode switch implemented. Clean up.",Medium (yellow),Adan Daxa,2026-07-08,,Adan,Steps,Verify mock.ts and demoData.ts have no imports,,
,,,,,,,Steps,Delete unused files,,
,,,,,,,Steps,Remove NEXT_PUBLIC_USE_DEMO_MODE env var,,
Admin dashboard — add manual refresh,"Admin SWR hooks have 60s deduplication interval. Add a manual refresh button so admins can get real-time data on demand.",Medium (yellow),Adan Daxa,2026-07-08,,Adan,Steps,Add refresh button to admin dashboard header,,
,,,,,,,Steps,Call SWR mutate() on click to force re-fetch,,
,,,,,,,Steps,Add loading spinner during refresh,,
"[REQ GAP] UR8/SR10 — Configurable sensitivity settings UI","Requirements UR8 and SR10 say admins (and optionally advanced users) can adjust sensitivity thresholds and enable/disable detection categories. NO UI or backend support exists. Need admin settings page with: overall sensitivity slider, category toggles (medicalization, outdated terms, generalizations, etc.), and persist to DB configs table.",Critical (red),Adan Daxa,2026-04-15,,Adan,Steps,Design settings UI with sensitivity slider and category toggles,,
,,,,,,,Steps,Create /admin/settings page,,
,,,,,,,Steps,Create backend endpoints: GET/PUT /api/v1/admin/config,,
,,,,,,,Steps,Store config in DB configs table,,
,,,,,,,Steps,Wire hybrid_detector to read active config per analysis,,
,,,,,,,Steps,Add i18n translations,,
"[REQ GAP] SR11 — Feedback mechanism (thumbs up/down per flag)","SR11 requires a feedback mechanism on individual flags (thumbs-up/down, short comment). This is completely missing. Need: UI feedback buttons on each issue in side panel, backend endpoint to log feedback, and admin view to review aggregated feedback.",Critical (red),Adan Daxa,2026-04-15,,Adan,Steps,Add thumbs-up/thumbs-down buttons to AnnotationSidePanel,,
,,,,,,,Steps,Add optional short comment text input,,
,,,,,,,Steps,Create POST /api/v1/analysis/feedback backend endpoint,,
,,,,,,,Steps,Create feedback DB table or use existing structure,,
,,,,,,,Steps,Add feedback summary to admin dashboard,,
,,,,,,,Steps,Respect anonymization — don't link feedback to user if private mode,,
"[REQ GAP] IR3 — Severity/category filters on results view","IR3 requires filters to show/hide specific severity levels or categories on the results screen. Currently all issues are shown with no filtering. Add filter bar above annotated text.",High (orange),Adan Daxa,2026-04-15,,Adan,Steps,Add filter bar with severity toggle buttons (outdated/biased/offensive/incorrect),,
,,,,,,,Steps,Filter annotations displayed based on active filters,,
,,,,,,,Steps,Update issue count display to reflect active filters,,
,,,,,,,Steps,Persist filter state during session,,
"[UX OVERHAUL] Document viewer with rich annotations","Current AnnotatedText renders plain text in a single <p> tag — no document structure, no headings, no page feel. Need rich document renderer that: (1) Takes Docling's markdown output, (2) Renders it as styled HTML with headings/paragraphs/lists preserved, (3) Overlays color-coded severity highlights on flagged spans, (4) Uses page-like styling (white card, drop shadow, margins) for a professional 'document' feel. Use react-markdown with custom highlight components.",Critical (red),Adan Daxa,2026-04-15,,Adan,Steps,Install react-markdown and remark/rehype plugins,,
,,,,,,,Steps,Create DocumentViewer component that renders markdown as styled HTML,,
,,,,,,,Steps,Add custom renderer for highlighted spans with severity color-coding,,
,,,,,,,Steps,Style container to look like a document page (white bg shadow margins),,
,,,,,,,Steps,Preserve heading hierarchy and paragraph structure from Docling,,
,,,,,,,Steps,Make highlights clickable to open side panel,,
,,,,,,,Steps,Test with Hebrew RTL documents,,
"[UX BUG] Fix scrolling in analyzed text area","Scrolling inside the text after analysis is buggy and not smooth. The AnnotatedText component renders everything in a single prose div. Need: (1) Proper overflow-y-auto with smooth scroll, (2) Fixed height container so side panel and text scroll independently, (3) Scroll-to-annotation when clicking issues list.",High (orange),Adan Daxa,2026-04-15,,Adan,Steps,Add fixed-height scrollable container for document viewer,,
,,,,,,,Steps,Add overflow-y-auto with scroll-smooth,,
,,,,,,,Steps,Implement scroll-to-annotation on issue click,,
,,,,,,,Steps,Test smooth scrolling with long documents,,
,,,,,,,Steps,Test RTL scrolling behavior,,
"[UX BUG] Fix Google OAuth redirect — goes to /login instead of landing","After successful Google OAuth login, user is redirected back to /login page instead of landing page or the page they came from. The OAuthCallbackClient stores auth_return_url in localStorage but the redirect logic has a bug.",Critical (red),Adan Daxa,2026-04-15,,Adan,Steps,Debug OAuthCallbackClient redirect logic,,
,,,,,,,Steps,Ensure auth_return_url defaults to / (landing) not /login,,
,,,,,,,Steps,Test: login from landing → should return to landing,,
,,,,,,,Steps,Test: login from /analyze → should return to /analyze,,
,,,,,,,Steps,Test: fresh login with no return URL → should go to landing,,
"[UX] Audit and fix all navigation redirects","Systematic audit of all redirect flows: login success → landing page, register success → landing page, session expiry → login with return URL, OAuth callback → correct return page, logout → landing page. Document expected behavior and fix any mismatches.",High (orange),Adan Daxa,2026-04-15,,Adan,Steps,Map all redirect flows and expected destinations,,
,,,,,,,Steps,Test each flow manually,,
